CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12451,10,6,8933.52,4,4,4,444,Champion
12452,16,3,428.57,4,2,2,422,Others
12453,134,1,707.09,2,1,3,213,Others
12454,53,2,5.684341886080802e-14,2,2,1,221,Potential Loyalist
12455,73,6,2466.86,2,4,4,244,Loyal Customer
12456,44,4,3153.89,3,3,4,334,Loyal Customer
12457,58,12,1917.78,2,4,4,244,Loyal Customer
12458,71,2,947.4,2,2,3,223,Potential Loyalist
12461,94,2,826.88,2,2,3,223,Potential Loyalist
12462,2,4,1124.01,4,3,3,433,Loyal Customer
12463,46,7,1303.63,3,4,3,343,Loyal Customer
12464,10,8,1212.05,4,4,3,443,Loyal Customer
12465,7,3,733.89,4,2,3,423,Others
12468,143,3,724.0400000000001,2,2,3,223,Potential Loyalist
12471,2,49,18705.52,4,4,4,444,Champion
12472,30,13,6229.48,3,4,4,344,Loyal Customer
12473,29,9,2837.73,3,4,4,344,Loyal Customer
12474,17,30,7064.7699999999995,3,4,4,344,Loyal Customer
12475,53,1,723.38,2,1,3,213,Others
12476,1,20,6546.58,4,4,4,444,Champion
12477,22,9,13117.01,3,4,4,344,Loyal Customer
12478,3,1,680.99,4,1,3,413,Others
12479,3,3,477.3,4,2,2,422,Others
12480,28,4,3281.63,3,3,4,334,Loyal Customer
12481,22,11,5574.36,3,4,4,344,Loyal Customer
12483,17,13,2327.13,3,4,4,344,Loyal Customer
12484,32,8,4480.87,3,4,4,344,Loyal Customer
12488,9,3,1298.66,4,2,3,423,Others
12489,336,1,334.93,1,1,2,112,Others
12490,5,10,5417.93,4,4,4,444,Champion
12491,38,1,460.40000000000003,3,1,2,312,Others
12492,63,2,263.21000000000004,2,2,1,221,Potential Loyalist
12493,165,3,416.79,1,2,2,122,Potential Loyalist
12494,9,13,1139.3500000000001,4,4,3,443,Loyal Customer
12497,81,1,1043.1,2,1,3,213,Others
12498,21,3,403.70000000000005,3,2,2,322,Potential Loyalist
12500,23,13,4206.27,3,4,4,344,Loyal Customer
12501,315,2,2089.68,1,2,4,124,At Risk
12502,95,5,3723.87,2,3,4,234,Loyal Customer
12503,337,1,-1126.0,1,1,1,111,Lost Customer
12504,18,4,114.0,3,3,1,331,Potential Loyalist
12505,301,1,-4.5,1,1,1,111,Lost Customer
12506,232,1,73.5,1,1,1,111,Lost Customer
12507,134,4,1258.06,2,3,3,233,Loyal Customer
12508,26,2,397.88,3,2,2,322,Potential Loyalist
12509,284,1,176.5,1,1,1,111,Lost Customer
12510,142,2,982.5699999999999,2,2,3,223,Potential Loyalist
12512,66,2,132.18,2,2,1,221,Potential Loyalist
12513,84,2,586.79,2,2,2,222,Potential Loyalist
12514,267,1,1017.68,1,1,3,113,At Risk
12515,353,1,383.7,1,1,2,112,Others
12516,77,2,1312.06,2,2,3,223,Potential Loyalist
12517,28,6,2443.65,3,4,4,344,Loyal Customer
12518,0,5,2056.89,4,3,4,434,Loyal Customer
12519,63,1,330.84,2,1,2,212,Others
12520,79,6,2582.51,2,4,4,244,Loyal Customer
12521,142,1,599.68,2,1,2,212,Others
12522,39,2,192.72,3,2,1,321,Potential Loyalist
12523,1,13,1745.57,4,4,4,444,Champion
12524,9,8,4485.72,4,4,4,444,Champion
12526,0,3,1316.66,4,2,3,423,Others
12527,81,3,348.71000000000004,2,2,2,222,Potential Loyalist
12528,9,8,1922.28,4,4,4,444,Champion
12530,59,5,1623.63,2,3,4,234,Loyal Customer
12531,14,1,125.22,4,1,1,411,Others
12532,30,1,349.83000000000004,3,1,2,312,Others
12534,130,1,1089.18,2,1,3,213,Others
12535,91,2,716.35,2,2,3,223,Potential Loyalist
12536,7,5,4106.82,4,3,4,434,Loyal Customer
12538,29,1,363.95,3,1,2,312,Others
12539,22,5,3852.5,3,3,4,334,Loyal Customer
12540,19,19,13309.039999999999,3,4,4,344,Loyal Customer
12541,29,3,981.18,3,2,3,323,Potential Loyalist
12544,29,2,355.7,3,2,2,322,Potential Loyalist
12545,75,2,1000.39,2,2,3,223,Potential Loyalist
12546,46,3,1141.5,3,2,3,323,Potential Loyalist
12547,197,2,207.79999999999998,1,2,1,121,Potential Loyalist
12548,166,1,95.19999999999999,1,1,1,111,Lost Customer
12550,79,1,964.83,2,1,3,213,Others
12551,357,1,168.0,1,1,1,111,Lost Customer
12552,38,2,437.82,3,2,2,322,Potential Loyalist
12553,8,14,3652.25,4,4,4,444,Champion
12556,50,2,599.56,3,2,2,322,Potential Loyalist
12557,16,5,11990.960000000001,4,3,4,434,Loyal Customer
12558,1,2,1.0658141036401503e-14,4,2,1,421,Others
12559,310,3,536.21,1,2,2,122,Potential Loyalist
12560,5,4,2101.39,4,3,4,434,Loyal Customer
12561,302,1,238.85,1,1,1,111,Lost Customer
12562,8,7,3781.7400000000002,4,4,4,444,Champion
12564,261,1,456.9,1,1,2,112,Others
12565,281,2,131.17,1,2,1,121,Potential Loyalist
12566,72,2,346.7,2,2,2,222,Potential Loyalist
12567,22,11,9114.94,3,4,4,344,Loyal Customer
12569,2,35,4064.9900000000002,4,4,4,444,Champion
12571,39,2,519.61,3,2,2,322,Potential Loyalist
12572,8,3,1004.72,4,2,3,423,Others
12573,227,1,160.54000000000002,1,1,1,111,Lost Customer
12574,315,1,218.45,1,1,1,111,Lost Customer
12576,35,6,1306.98,3,4,3,343,Loyal Customer
12577,35,4,564.2,3,3,2,332,Potential Loyalist
12578,21,4,2753.36,3,3,4,334,Loyal Customer
12579,73,3,410.72,2,2,2,222,Potential Loyalist
12580,246,1,415.7,1,1,2,112,Others
12581,39,1,197.71,3,1,1,311,Others
12582,238,2,511.36,1,2,2,122,Potential Loyalist
12583,2,18,7187.34,4,4,4,444,Champion
12584,3,18,1893.95,4,4,4,444,Champion
12585,234,4,1982.81,1,3,4,134,Loyal Customer
12586,17,2,179.94000000000003,3,2,1,321,Potential Loyalist
12587,7,1,144.0,4,1,1,411,Others
12588,39,1,214.89999999999998,3,1,1,311,Others
12589,28,2,646.68,3,2,3,323,Potential Loyalist
12590,190,3,9861.38,1,2,4,124,At Risk
12591,317,1,452.84999999999997,1,1,2,112,Others
12592,92,2,437.6,2,2,2,222,Potential Loyalist
12593,108,3,418.09999999999997,2,2,2,222,Potential Loyalist
12594,37,11,3320.2200000000003,3,4,4,344,Loyal Customer
12596,51,2,618.27,2,2,2,222,Potential Loyalist
12597,19,5,3683.13,3,3,4,334,Loyal Customer
12598,9,9,3002.68,4,4,4,444,Champion
12599,29,7,1032.58,3,4,3,343,Loyal Customer
12600,28,11,2581.04,3,4,4,344,Loyal Customer
12601,189,6,569.5600000000001,1,4,2,142,Potential Loyalist
12602,58,1,153.12,2,1,1,211,Others
12603,21,1,739.1999999999999,3,1,3,313,Others
12604,79,2,254.18,2,2,1,221,Potential Loyalist
12605,365,1,-7.5,1,1,1,111,Lost Customer
12607,58,2,3.552713678800501e-15,2,2,1,221,Potential Loyalist
12609,78,3,1126.85,2,2,3,223,Potential Loyalist
12610,22,7,2057.99,3,4,4,344,Loyal Customer
12611,52,1,1193.32,2,1,3,213,Others
12612,57,2,643.59,2,2,2,222,Potential Loyalist
12613,31,6,3218.98,3,4,4,344,Loyal Customer
12614,277,1,315.6,1,1,2,112,Others
12615,2,4,2291.19,4,3,4,434,Loyal Customer
12616,85,5,657.25,2,3,3,233,Loyal Customer
12617,29,1,352.98,3,1,2,312,Others
12618,21,1,177.31,3,1,1,311,Others
12619,16,13,3214.81,4,4,4,444,Champion
12620,14,3,1339.41,4,2,3,423,Others
12621,1,23,13612.07,4,4,4,444,Champion
12622,232,1,180.1,1,1,1,111,Lost Customer
12623,276,1,305.1,1,1,2,112,Others
12624,106,2,641.13,2,2,2,222,Potential Loyalist
12625,211,3,2614.32,1,2,4,124,At Risk
12626,23,13,6388.35,3,4,4,344,Loyal Customer
12627,10,7,4478.53,4,4,4,444,Champion
12628,4,4,769.61,4,3,3,433,Loyal Customer
12630,9,2,1270.88,4,2,3,423,Others
12631,57,1,640.5,2,1,2,212,Others
12633,58,5,2140.63,2,3,4,234,Loyal Customer
12635,89,2,1689.18,2,2,4,224,Potential Loyalist
12637,67,10,5934.25,2,4,4,244,Loyal Customer
12638,33,1,671.69,3,1,3,313,Others
12639,238,1,486.1,1,1,2,112,Others
12640,23,3,1174.58,3,2,3,323,Potential Loyalist
12641,115,1,185.9,2,1,1,211,Others
12642,25,3,1013.26,3,2,3,323,Potential Loyalist
12643,128,6,3344.64,2,4,4,244,Loyal Customer
12644,129,1,477.91,2,1,2,212,Others
12645,33,5,1755.38,3,3,4,334,Loyal Customer
12646,4,2,1346.97,4,2,3,423,Others
12647,22,13,3669.92,3,4,4,344,Loyal Customer
12648,154,1,318.05,1,1,2,112,Others
12649,107,4,603.71,2,3,2,232,Potential Loyalist
12650,3,1,314.44,4,1,2,412,Others
12651,334,1,114.0,1,1,1,111,Lost Customer
12652,322,2,914.53,1,2,3,123,At Risk
12653,148,2,2209.85,1,2,4,124,At Risk
12654,10,5,601.98,4,3,2,432,Others
12656,17,8,3982.72,3,4,4,344,Loyal Customer
12657,11,5,1152.06,4,3,3,433,Loyal Customer
12658,18,1,686.05,3,1,3,313,Others
12659,29,1,91.68,3,1,1,311,Others
12660,11,1,245.1,4,1,1,411,Others
12662,0,12,3817.08,4,4,4,444,Champion
12664,8,10,4863.88,4,4,4,444,Champion
12665,324,2,61.75,1,2,1,121,Potential Loyalist
12666,359,1,-227.44,1,1,1,111,Lost Customer
12667,58,1,620.13,2,1,2,212,Others
12668,7,6,3743.18,4,4,4,444,Champion
12669,150,4,1607.73,1,3,3,133,Loyal Customer
12670,10,6,2986.15,4,4,4,444,Champion
12672,329,1,225.89999999999998,1,1,1,111,Lost Customer
12673,5,2,610.52,4,2,2,422,Others
12674,11,7,1922.26,4,4,4,444,Champion
12676,24,6,1331.39,3,4,3,343,Loyal Customer
12678,42,13,17588.26,3,4,4,344,Loyal Customer
12679,52,9,1058.67,2,4,3,243,Loyal Customer
12680,0,4,862.81,4,3,3,433,Loyal Customer
12681,14,27,13677.59,4,4,4,444,Champion
12682,3,31,12279.82,4,4,4,444,Champion
12683,4,20,8221.09,4,4,4,444,Champion
12684,7,7,2283.63,4,4,4,444,Champion
12685,28,6,2863.08,3,4,4,344,Loyal Customer
12686,371,1,89.14,1,1,1,111,Lost Customer
12688,113,1,4873.8099999999995,2,1,4,214,Others
12689,25,2,1247.61,3,2,3,323,Potential Loyalist
12690,205,1,389.01,1,1,2,112,Others
12691,28,6,1035.8,3,4,3,343,Loyal Customer
12693,120,6,830.96,2,4,3,243,Loyal Customer
12694,70,2,869.67,2,2,3,223,Potential Loyalist
12695,7,4,582.1,4,3,2,432,Others
12697,21,5,939.02,3,3,3,333,Loyal Customer
12700,7,6,4867.99,4,4,4,444,Champion
12701,79,2,797.71,2,2,3,223,Potential Loyalist
12702,19,1,219.0,3,1,1,311,Others
12703,64,2,274.7,2,2,1,221,Potential Loyalist
12704,7,10,2220.84,4,4,4,444,Champion
12705,15,14,6814.24,4,4,4,444,Champion
12707,291,1,603.42,1,1,2,112,Others
12708,29,16,2616.32,3,4,4,344,Loyal Customer
12709,3,26,9264.1,4,4,4,444,Champion
12710,96,4,1130.57,2,3,3,233,Loyal Customer
12712,22,17,4241.63,3,4,4,344,Loyal Customer
12713,0,1,848.55,4,1,3,413,Others
12714,9,5,4708.86,4,3,4,434,Loyal Customer
12715,106,1,343.36,2,1,2,212,Others
12716,3,2,1053.49,4,2,3,423,Others
12717,151,3,980.98,1,2,3,123,At Risk
12718,71,1,238.25,2,1,1,211,Others
12719,5,3,608.1,4,2,2,422,Others
12720,2,29,5713.28,4,4,4,444,Champion
12721,31,7,2628.98,3,4,4,344,Loyal Customer
12722,85,6,904.33,2,4,3,243,Loyal Customer
12723,3,5,725.07,4,3,3,433,Loyal Customer
12724,5,4,1031.41,4,3,3,433,Loyal Customer
12725,371,1,427.8,1,1,2,112,Others
12726,28,7,2609.1,3,4,4,344,Loyal Customer
12727,10,9,3947.7,4,4,4,444,Champion
12728,71,4,836.33,2,3,3,233,Loyal Customer
12729,113,1,453.01,2,1,2,212,Others
12731,23,14,18793.41,3,4,4,344,Loyal Customer
12732,179,1,236.26000000000002,1,1,1,111,Lost Customer
12733,234,1,383.95,1,1,2,112,Others
12734,352,1,110.39999999999999,1,1,1,111,Lost Customer
12735,315,2,779.5699999999999,1,2,3,123,At Risk
12736,332,1,234.0,1,1,1,111,Lost Customer
12738,372,1,155.35,1,1,1,111,Lost Customer
12739,78,2,1013.04,2,2,3,223,Potential Loyalist
12740,63,1,427.6,2,1,2,212,Others
12743,134,2,540.13,2,2,2,222,Potential Loyalist
12744,51,10,9120.39,2,4,4,244,Loyal Customer
12747,2,11,4196.01,4,4,4,444,Champion
12748,0,224,28405.56,4,4,4,444,Champion
12749,3,8,3868.2,4,4,4,444,Champion
12750,128,1,275.88,2,1,1,211,Others
12752,81,1,4366.78,2,1,4,214,Others
12753,3,11,21024.01,4,4,4,444,Champion
12754,235,5,2949.12,1,3,4,134,Loyal Customer
12755,249,4,2203.2,1,3,4,134,Loyal Customer
12756,86,1,112.07999999999998,2,1,1,211,Others
12757,15,19,4205.25,4,4,4,444,Champion
12758,116,2,2791.59,2,2,4,224,Potential Loyalist
12759,52,3,1531.44,2,2,3,223,Potential Loyalist
12762,7,2,1898.52,4,2,4,424,Others
12763,138,2,494.08,2,2,2,222,Potential Loyalist
12764,316,1,1693.88,1,1,4,114,At Risk
12766,3,7,6989.63,4,4,4,444,Champion
12769,238,1,1143.6,1,1,3,113,At Risk
12770,210,1,1351.45,1,1,3,113,At Risk
12772,59,1,892.47,2,1,3,213,Others
12775,17,6,1351.24,3,4,3,343,Loyal Customer
12778,19,7,804.23,3,4,3,343,Loyal Customer
12779,21,12,3868.7,3,4,4,344,Loyal Customer
12781,21,5,707.72,3,3,3,333,Loyal Customer
12782,4,6,2273.32,4,4,4,444,Champion
12783,2,8,1603.87,4,4,3,443,Loyal Customer
12784,9,2,532.8199999999999,4,2,2,422,Others
12785,2,2,305.71,4,2,2,422,Others
12787,9,3,463.66,4,2,2,422,Others
12789,65,1,91.85,2,1,1,211,Others
12790,192,1,324.92,1,1,2,112,Others
12791,373,1,192.60000000000002,1,1,1,111,Lost Customer
12792,256,1,400.53999999999996,1,1,2,112,Others
12793,334,2,545.48,1,2,2,122,Potential Loyalist
12794,53,2,860.41,2,2,3,223,Potential Loyalist
12795,18,1,430.48,3,1,2,312,Others
12797,360,3,194.18,1,2,1,121,Potential Loyalist
12798,10,3,6977.04,4,2,4,424,Others
12802,183,2,412.58,1,2,2,122,Potential Loyalist
12808,36,3,483.65000000000003,3,2,2,322,Potential Loyalist
12809,168,2,484.36,1,2,2,122,Potential Loyalist
12811,260,3,514.85,1,2,2,122,Potential Loyalist
12812,44,1,229.64000000000001,3,1,1,311,Others
12814,101,1,125.92,2,1,1,211,Others
12815,147,2,1063.46,1,2,3,123,At Risk
12816,95,2,572.2,2,2,2,222,Potential Loyalist
12817,281,1,166.04,1,1,1,111,Lost Customer
12818,178,2,1517.88,1,2,3,123,At Risk
12820,3,4,942.34,4,3,3,433,Loyal Customer
12821,214,1,92.72,1,1,1,111,Lost Customer
12822,70,3,918.98,2,2,3,223,Potential Loyalist
12823,74,5,1759.5,2,3,4,234,Loyal Customer
12824,59,1,397.12,2,1,2,212,Others
12826,2,8,1468.1200000000001,4,4,3,443,Loyal Customer
12827,5,3,430.15000000000003,4,2,2,422,Others
12828,2,6,1018.71,4,4,3,443,Loyal Customer
12829,322,3,253.05,1,2,1,121,Potential Loyalist
12830,37,7,6748.4,3,4,4,344,Loyal Customer
12831,262,1,215.05,1,1,1,111,Lost Customer
12832,32,2,383.03,3,2,2,322,Potential Loyalist
12833,145,1,417.38,1,1,2,112,Others
12834,282,1,312.38,1,1,2,112,Others
12836,59,4,2610.36,2,3,4,234,Loyal Customer
12837,173,1,134.1,1,1,1,111,Lost Customer
12838,33,2,671.95,3,2,3,323,Potential Loyalist
12839,2,16,5583.62,4,4,4,444,Champion
12840,143,6,2714.27,2,4,4,244,Loyal Customer
12841,4,26,3845.63,4,4,4,444,Champion
12842,70,2,1118.99,2,2,3,223,Potential Loyalist
12843,65,9,1680.76,2,4,4,244,Loyal Customer
12844,29,2,325.96000000000004,3,2,2,322,Potential Loyalist
12845,267,4,354.09,1,3,2,132,Potential Loyalist
12847,22,1,843.64,3,1,3,313,Others
12849,31,2,1010.29,3,2,3,323,Potential Loyalist
12851,96,1,131.81,2,1,1,211,Others
12852,290,2,299.75,1,2,2,122,Potential Loyalist
12853,107,9,1881.7,2,4,4,244,Loyal Customer
12854,78,5,1280.9,2,3,3,233,Loyal Customer
12855,372,1,38.1,1,1,1,111,Lost Customer
12856,7,8,2153.53,4,4,4,444,Champion
12857,210,2,1106.4,1,2,3,123,At Risk
12863,52,2,504.2,2,2,2,222,Potential Loyalist
12864,138,1,147.12,2,1,1,211,Others
12865,26,3,1548.07,3,2,3,323,Potential Loyalist
12866,283,1,559.12,1,1,2,112,Others
12867,26,10,3958.74,3,4,4,344,Loyal Customer
12868,185,6,1607.0600000000002,1,4,3,143,Loyal Customer
12870,366,1,-14.899999999999999,1,1,1,111,Lost Customer
12871,84,2,380.64,2,2,2,222,Potential Loyalist
12872,326,2,599.97,1,2,2,122,Potential Loyalist
12873,282,1,374.0,1,1,2,112,Others
12875,143,2,343.2300000000001,2,2,2,222,Potential Loyalist
12876,57,2,2218.02,2,2,4,224,Potential Loyalist
12877,3,12,1535.77,4,4,3,443,Loyal Customer
12878,18,3,841.64,3,2,3,323,Potential Loyalist
12879,44,4,552.5699999999999,3,3,2,332,Potential Loyalist
12881,275,1,298.0,1,1,2,112,Others
12882,9,2,1463.04,4,2,3,423,Others
12883,24,4,703.47,3,3,3,333,Loyal Customer
12884,88,1,309.05,2,1,2,212,Others
12885,63,4,1158.27,2,3,3,233,Loyal Customer
12886,67,3,1351.09,2,2,3,223,Potential Loyalist
12888,214,4,313.77,1,3,2,132,Potential Loyalist
12890,24,1,376.71999999999997,3,1,2,312,Others
12891,185,3,331.0,1,2,2,122,Potential Loyalist
12893,30,1,176.55,3,1,1,311,Others
12895,42,3,347.3,3,2,2,322,Potential Loyalist
12897,204,2,216.5,1,2,1,121,Potential Loyalist
12901,8,36,16293.1,4,4,4,444,Champion
12902,264,1,138.68,1,1,1,111,Lost Customer
12904,18,2,496.06,3,2,2,322,Potential Loyalist
12906,11,5,2919.81,4,3,4,434,Loyal Customer
12908,58,4,246.0,2,3,1,231,Potential Loyalist
12909,39,8,2128.83,3,4,4,344,Loyal Customer
12910,23,8,3075.04,3,4,4,344,Loyal Customer
12912,2,5,1662.3,4,3,4,434,Loyal Customer
12913,4,5,2483.63,4,3,4,434,Loyal Customer
12915,148,2,363.65,1,2,2,122,Potential Loyalist
12916,138,5,2921.15,2,3,4,234,Loyal Customer
12917,128,1,594.0,2,1,2,212,Others
12919,8,8,1301.44,4,4,3,443,Loyal Customer
12920,17,1,162.78,3,1,1,311,Others
12921,3,50,16389.74,4,4,4,444,Champion
12922,161,1,405.38,1,1,2,112,Others
12923,64,1,172.82,2,1,1,211,Others
12924,88,5,929.95,2,3,3,233,Loyal Customer
12925,4,2,694.05,4,2,3,423,Others
12928,35,5,2062.7000000000003,3,3,4,334,Loyal Customer
12929,122,2,105.1,2,2,1,221,Potential Loyalist
12930,78,4,409.9,2,3,2,232,Potential Loyalist
12931,21,20,33462.81,3,4,4,344,Loyal Customer
12933,24,4,606.28,3,3,2,332,Potential Loyalist
12935,2,8,2156.45,4,4,4,444,Champion
12936,17,5,1012.9,3,3,3,333,Loyal Customer
12937,15,4,1504.27,4,3,3,433,Loyal Customer
12938,25,1,114.14,3,1,1,311,Others
12939,64,8,11581.8,2,4,4,244,Loyal Customer
12940,46,4,862.44,3,3,3,333,Loyal Customer
12942,131,3,675.6,2,2,3,223,Potential Loyalist
12943,301,1,-3.75,1,1,1,111,Lost Customer
12944,35,2,604.51,3,2,2,322,Potential Loyalist
12945,288,1,462.95,1,1,2,112,Others
12947,143,11,1407.29,2,4,3,243,Loyal Customer
12948,16,8,2053.7,4,4,4,444,Champion
12949,30,10,4143.02,3,4,4,344,Loyal Customer
12950,2,3,1843.0,4,2,4,424,Others
12951,8,8,1042.07,4,4,3,443,Loyal Customer
12952,5,5,1382.8400000000001,4,3,3,433,Loyal Customer
12953,9,1,329.85,4,1,2,412,Others
12955,1,14,4734.26,4,4,4,444,Champion
12956,306,1,108.07,1,1,1,111,Lost Customer
12957,4,12,3979.04,4,4,4,444,Champion
12962,7,2,266.39,4,2,1,421,Others
12963,8,9,1841.03,4,4,4,444,Champion
12965,89,1,769.8100000000001,2,1,3,213,Others
12966,9,1,160.18,4,1,1,411,Others
12967,3,4,1194.75,4,3,3,433,Loyal Customer
12968,112,1,135.95,2,1,1,211,Others
12970,7,4,405.47,4,3,2,432,Others
12971,3,89,10930.26,4,4,4,444,Champion
12974,197,1,144.8,1,1,1,111,Lost Customer
12976,211,1,738.6,1,1,3,113,At Risk
12977,156,1,39.239999999999995,1,1,1,111,Lost Customer
12980,155,12,7092.06,1,4,4,144,Loyal Customer
12981,29,2,372.21999999999997,3,2,2,322,Potential Loyalist
12982,239,2,377.2,1,2,2,122,Potential Loyalist
12984,18,1,97.5,3,1,1,311,Others
12985,0,3,1215.6200000000001,4,2,3,423,Others
12987,73,3,545.0,2,2,2,222,Potential Loyalist
12988,292,1,505.82,1,1,2,112,Others
12989,3,19,6854.51,4,4,4,444,Champion
12990,31,3,409.5,3,2,2,322,Potential Loyalist
12991,23,2,503.76,3,2,2,322,Potential Loyalist
12993,23,4,414.76,3,3,2,332,Potential Loyalist
12994,4,5,902.22,4,3,3,433,Loyal Customer
12995,77,2,200.72,2,2,1,221,Potential Loyalist
12997,22,7,1197.94,3,4,3,343,Loyal Customer
12999,196,3,455.88,1,2,2,122,Potential Loyalist
13000,106,3,534.85,2,2,2,222,Potential Loyalist
13001,4,15,9765.07,4,4,4,444,Champion
13002,318,1,120.94999999999999,1,1,1,111,Lost Customer
13003,105,3,149.05,2,3,1,231,Potential Loyalist
13004,11,22,5613.43,4,4,4,444,Champion
13005,173,3,468.95,1,3,2,132,Potential Loyalist
13006,56,1,81.57,2,1,1,211,Others
13008,323,2,178.46999999999997,1,2,1,121,Potential Loyalist
13011,372,1,50.550000000000004,1,1,1,111,Lost Customer
13012,9,11,1296.6200000000001,4,4,3,443,Loyal Customer
13013,1,15,4786.99,4,4,4,444,Champion
13014,2,16,3365.43,4,4,4,444,Champion
13015,53,5,3339.64,2,3,4,234,Loyal Customer
13016,73,3,789.89,2,3,3,233,Loyal Customer
13017,7,1,204.0,4,1,1,411,Others
13018,16,29,7272.75,4,4,4,444,Champion
13021,4,12,2584.4,4,4,4,444,Champion
13023,64,2,689.9,2,2,3,223,Potential Loyalist
13026,1,8,936.15,4,4,3,443,Loyal Customer
13027,113,6,6912.0,2,4,4,244,Loyal Customer
13028,22,3,659.68,3,3,3,333,Loyal Customer
13029,30,3,1247.5,3,3,3,333,Loyal Customer
13030,11,2,752.4399999999999,4,2,3,423,Others
13032,38,3,996.52,3,3,3,333,Loyal Customer
